ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
PAN,2013,Panama,7.36,39,1,6.882352941,16.6,8.555858311,5.8,6,25.94154978,9,25,4,42,6.5,6.984552813,2.846472459,4.185395713,5.835802519,8.33,5,2.985719478,8.785860187,5.884511571,4.892293315,0.945945946,5.26984381,9.350646573,-3.246767135,7.585761743,6.035595642,9.194568017,4.027159916,10,9.032744083,8.937144951,1.594282573,8.62,6.9,5.998,10.005,7.851714984,5.875485,8.76417365,7.319829325,10,7.379393502,10,9.139332485,8.839575329,8.502779909,8,8.326329758,10,8.775443253,2.233333333,4.527196193,5.939758321,6,4.128922248,10,5.471535016,4.973786814,7.333333333,9.740672228,4.39440376,9.268498119,5.325710863,6.839400853,7.02879304
PNG,2013,Pap. New Guinea,6.57,99,3,3.095230112,29.47621762,9.116076294,3.744,8,,5,42,5,42,5,6.302826602,5.102528389,3.8,3.906287313,7.5,4.166666667,1.010607601,6.96282759,3.001232299,3.025131479,0.885714286,4.030743759,8.297033019,8.514834907,8.143825268,4.640436831,9.007936508,4.96031746,5,7.612198699,6.613333333,5.08,9.06,4.7,5.676,10.81,7.116444444,5.28159325,6.362890477,5.822241863,10,,7.692307692,5.366213569,6.529260631,7.366986735,10,6.259683825,9,8.419894608,7.766666667,5.537366889,6.253200882,10,7.006901538,10,7.760689329,3.981925743,4.666666667,8.099337175,,7.376058237,7.679669421,6.360731448,7.513771795
PRY,2013,Paraguay,6.92,77,2,7.323529412,15.1,9.084898374,3.858422968,8,16.64464993,10,10,7,34,8.5,8.227106946,1.080835185,3.024189006,3.693096629,2.5,3.333333333,4.187770031,8.506083724,2.08969555,4.348346005,1,3.640372163,8.903585119,5.482074403,8.630570823,3.423572943,9.463228523,2.683857387,10,9.249346116,9.073333333,1.39,8,10,6.76,8.1,7.944444444,5.619159518,5.859832417,5.739495968,10,5.684097401,4.615384615,5.114672308,5.138051442,7.205497963,8,8.942655518,9,8.647551839,3.333333333,3.968028627,7.471896794,8,2.599481826,1,4.395456763,4.697441026,4.666666667,8.460293201,2.624584443,8.69985606,5.762874595,5.818619332,6.287209312
PER,2013,Peru,7.38,36,1,7.235294118,15.4,9.61211415,1.923541071,7,21.9,8,30,4,48,6,7.461852067,2.45075409,3.246300127,4.228868171,7.5,5,5.084941294,8.792407873,2.693076366,3.327151468,1,4.702611043,8.623325101,6.883374493,9.089874189,2.275314529,9.436699436,2.816502821,10,9.287474681,9.58,0.63,9.32,3.4,8.3544,4.114,9.0848,5.319324123,8.096935613,6.708129868,10,6.43959904,8.461538462,0.419235435,5.106790979,7.724930212,10,10,9,9.666666667,3.9,3.160110657,7.33145863,10,7.03979273,10,6.905227003,2.854483316,8.444444444,9.070929086,4.33788203,8.080461796,6.715667345,6.583978003,7.718623891
PHL,2013,Philippines,7.58,28,1,7.882352941,13.2,9.980510208,0.571527537,10,11.7,7,32,7,32,7,8.715715787,4.255227918,4.317626175,5.466528051,5,4.166666667,3.116401178,7.925068367,4.39484433,5.526239037,0.891891892,4.642345526,8.765672365,6.171638175,9.55931175,1.101720625,9.400461184,2.997694081,10,9.431361325,7.073333333,4.39,8.74,6.3,7.3036,6.741,7.705644444,5.837980737,7.970294588,6.904137662,10,6.192902678,0.769230769,10,5.654044482,7.565956647,8,9.962003756,10,9.320667919,7.766666667,4.039504939,6.378577833,10,2.517253846,10,6.783667214,4.078209252,4.888888889,8.72526119,4.248713697,9.384325893,7.836599992,6.526999819,7.543778317
POL,2013,Poland,7.22,57,2,5,23,5.124913112,18.39156888,7,21.59,7,32,4,44,5.5,5.656228278,5.180656523,3.101566183,5.540382854,10,7.5,4.123415198,9.277711792,5.107186253,7.350750173,0.864864865,5.924226966,9.097777685,4.511111576,9.468371162,1.329072094,9.793146033,1.034269836,10,9.58982372,9.64,0.54,8.9,5.5,6.216,9.46,8.252,5.647559692,8.03273859,6.840149141,10,6.033798751,2.307692308,5.869296091,4.73692905,7.457269548,8,7.309470191,9,8.10315673,8.9,3.934948506,7.610139436,8,7.755176154,10,7.700044016,3.088921648,7.777777778,8.863670906,5.74078246,7.460886552,6.79413263,6.621028662,7.474743136
PRT,2013,Portugal,7.49,33,1,5.088235294,22.7,4.045434758,22.35325444,10,14.3,4,55,1,68,2.5,5.408417513,5.817638543,3.652817186,6.410053365,10,8.333333333,5.503705092,7.58150873,7.222002329,8.373858107,1,6.988324076,9.908789269,-0.456053656,9.604212881,0.989467797,9.945116667,0.274416667,10,9.864529704,9.64,0.54,8.9,5.5,6.216,9.46,8.252,7.001676342,8.095182592,7.548429467,10,5.626039728,4.615384615,5.869296091,5.370240145,7.792667403,8,6.951645065,10,8.317215022,5.566666667,3.895066286,6.249263177,6,7.03979273,10,6.45846481,3.297339422,8.888888889,9.895798399,6.512958665,9.073995332,6.917435221,7.431069321,7.402249718
QAT,2013,Qatar,7.53,31,1,0,49.84426837,9.613647987,1.917911886,,,10,0,10,0,10,6.537882662,8.291184322,7.447272465,8.326973823,6.666666667,8.333333333,4.85642951,9.655696541,8.822545521,9.213083646,0.615384615,6.426824369,9.381848621,-3.090756894,3.852022337,15.36994416,9.373685792,3.131571042,10,8.151889187,9.313333333,1.03,9.06,4.7,7.4056,6.486,8.592977778,5.938144669,7.907850585,6.922997627,10,6.9083719,4.615384615,3.10234222,4.875366245,7.597835413,,10,10,10,10,7.154564884,8.343892216,8,4.819637278,10,8.05301573,7.005941041,7.555555556,9.46800226,8.740715257,9.981963644,9.540417615,8.715432562,8.922816097
ROU,2013,Romania,7.6,25,1,6.282352941,18.64,6.778302309,12.32363053,8,18.3,10,16,4,45,7,7.015163813,4.103410115,3.568794003,4.925332266,8.333333333,5.8,4.849985116,9.147847632,5.361123644,5.585868819,1,5.741743881,9.595663171,2.021684143,9.283902557,1.790243608,9.20292802,3.985359902,10,9.520623437,9.64,0.54,8.9,5.5,6.216,9.46,8.252,4.93375879,8.262868612,6.598313701,10,5.256823329,8.461538462,5.869296091,6.529219294,7.844883249,10,8.869333092,10,9.623111031,5,5.091948877,6.73249061,8,10,10,7.470739914,3.67513259,6.444444444,9.719513418,4.49075917,6.755759075,8.217717092,6.550554298,7.881468414
RUS,2013,Russia,6.56,101,3,3.897058824,26.75,5.046163369,18.68058044,10,12.38,10,13,4,41,7,6.485805548,3.174560894,3.421774942,3.889610216,6.7,5,7.547067184,9.608043364,3.658894112,5.785028498,0.783783784,4.834547489,7.925774578,10.37112711,7.901268754,5.246828115,8.647499494,6.762502531,10,8.618635706,0.24,14.64,8.06,9.7,5.6156,10.961,4.638533333,5.007668368,7.184098618,6.095883493,10,4.212719205,6.153846154,0.754623783,3.707063047,6.110369968,5,9.500968035,10,8.166989345,5,5.327740263,7.621896683,6,8.503450769,3,5.908847953,3.176862044,5.333333333,9.628809484,3.858722009,7.027297666,8.116833153,6.190309615,6.755382304
RWA,2013,Rwanda,7.38,36,1,7.147058824,15.7,8.843306324,4.745065789,0,68.3,8,30,5,37,6.5,5.622591287,6.474835,6.261825,7.107198333,6.1,,3.73125763,9.362353277,7.95311,8.557483333,0.948717949,6.76546916,8.824321452,5.87839274,8.667485364,3.331286589,8.392167649,8.039161755,10,8.970993616,8.653333333,2.02,7.44,12.8,5.2896,11.776,7.127644444,5.787385,6.298693453,6.043039227,10,6.882423333,8.461538462,1.425400479,5.589787425,7.190117774,8,8.575420505,9,8.525140168,10,5.51148,7.088943333,10,7.755176154,10,8.392599915,6.326991667,7.555555556,9.242508985,7.220042571,9.656417815,8.800602068,8.133686444,8.350475509
SAU,2013,Saudi Arabia,6.55,102,3,0,43.1,,,,,10,0,10,18,10,5,7.022562594,5.413792768,6.868123915,8.333333333,8.333333333,4.008070388,9.8488061,7.016248198,7.70801546,0.435897436,5.149470115,8.678610948,6.606945262,3.513529111,16.21617722,9.298747277,3.506263617,10,7.872721834,,,9.04,4.8,6.6976,8.256,7.8688,5.726265296,8.013092603,6.86967895,10,5.173286919,1.538461538,0.419235435,2.376994631,6.778868395,8,10,,9,10,5.137559141,7.953706385,8,4.387940385,10,7.579867652,4.487176096,4,9.301643233,7.283160177,9.255260633,9.282603106,7.268307208,7.94939162
SEN,2013,Senegal,6.18,121,4,6.823529412,16.8,10,0,7,23.96,5,40,5,40,5,7.205882353,4.205931013,4.571227364,4.91043112,4.2,5,2.788290415,3.661743331,6.044068974,5.858788208,0.641025641,3.759815879,9.205560306,3.972198469,9.361255364,1.59686159,9.860274633,0.698626837,0,7.106772576,7.273333333,4.09,7.64,11.8,7.3096,6.726,7.407644444,5.193701048,8.284267619,6.738984334,10,5.80934131,0.769230769,3.605424742,3.394665607,6.885323596,10,6.897025172,10,8.965675057,0,5.126170225,5.759615139,6,7.193970192,0,4.013292593,4.926648779,0.666666667,9.075424426,4.125257804,7.643263713,3.05021759,4.91457983,5.964515827
SRB,2013,Serbia,6.65,93,3,6.1057397,19.24048502,3.689298472,23.66027461,10,12.39,10,15,5,37,7.5,6.823759543,2.592092816,2.509358239,3.576209171,6.666666667,5.833333333,3.613122248,8.091920835,4.714204267,5.296794759,1,4.765966926,8.526354857,7.368225716,9.041892772,2.395268069,8.461147274,7.694263629,5,7.757348726,9.266666667,1.1,8.52,7.4,7.1584,7.104,8.315022222,5.435368864,8.221823617,6.828596241,10,4.354153524,1.538461538,5.282366482,3.724993848,7.217153078,8,5.034922298,9,7.344974099,2.233333333,3.861471829,7.268741228,10,7.505751282,10,6.811549612,2.020580709,6,9.54437125,4.445969161,6.566582642,6.872597915,5.90835028,6.68829133
SYC,2013,Seychelles,7.24,52,2,0.497058824,38.31,9.14176544,3.649720835,7,22.9,10,15,10,18,10,6.659706066,5.197458798,4.482801894,5.252647057,8.6,,4.064276714,7.075346502,5.19739749,5.270841579,0.974358974,5.570255277,8.79809236,6.009538198,5.097164819,12.25708795,9.132212303,4.338938483,10,8.256867371,9.053333333,1.42,,,,,9.053333333,5.703680892,7.761563573,6.732622233,10,5.428854212,8.461538462,10,7.963464225,8.437354948,5,10,8,7.666666667,5.566666667,4.416327544,6.425230166,8,7.533160609,10,6.990230831,5.326781094,6,8.670974005,4.914861426,8.977920306,9.013579271,7.150686017,7.269194505
SLE,2013,Sierra Leone,6.11,126,4,9.564705882,7.48,10,0,4,38.8,8,30,5,40,6.5,7.516176471,3.014806342,3.046596609,4.002114831,4.166666667,5.833333333,4.183306561,5.391561338,3.992475391,4.678713314,0.837837838,3.911488075,8.462474841,7.687625796,7.831063059,5.422342353,7.946717257,10.26641371,5,7.310063789,9.106666667,1.34,7.62,11.9,7.144,7.14,7.956888889,6.082205704,6.320092461,6.201149083,10,6.137268372,1.666666667,1.341553392,3.048496143,6.801633529,2,0,9,3.666666667,6.666666667,5.786755407,6.666823406,6,0,10,5.853374247,4.378493786,2.444444444,9.217682366,2.744131845,8.206269425,6.043107757,5.505688271,5.008576395
SGP,2013,Singapore,8.59,2,1,5.514705882,21.25,8.854173721,4.705182443,7,,10,20,10,20,10,7.842219901,7.779989531,7.118874139,8.729053143,8.333333333,8.333333333,7.766531454,8.994561967,8.603103022,8.617689599,0.972972973,8.141414827,8.86304759,5.684762052,8.545034681,3.637413297,9.522546419,2.387267905,10,9.232657172,10,0,9.96,0.2,5.0784,12.304,8.346133333,7.475914344,9.4117657,8.443840022,10,8.728099586,6.923076923,10,8.55039217,8.835091381,10,10,10,10,10,7.335017814,8.280306214,10,10,0,7.602554005,6.997351674,10,9.913655991,8.860879952,9.999457062,9.08083523,9.142029985,8.91486133
SVK,2013,Slovak Rep,7.35,40,2,4.647058824,24.2,4.45511334,20.84973404,10,14.01,9,25,2,54,5.5,6.150543041,2.099165582,2.200223008,4.737150639,10,6.666666667,4.534445658,9.688162581,4.266441359,5.90979442,1,5.566894435,9.692593748,1.537031261,9.743484548,0.64128863,9.719905262,1.40047369,10,9.788995889,9.64,0.54,8.9,5.5,6.216,9.46,8.252,5.957194381,7.824007575,6.890600978,10,7.075755058,5.384615385,5.869296091,6.109888845,7.813122456,10,8.554059291,9,9.18468643,6.666666667,3.137370696,6.041187494,8,7.755176154,10,6.933400168,2.39244492,7.333333333,9.553106016,3.655435068,6.25400238,7.679669421,6.14466519,7.420917263
SVN,2013,Slovenia,6.72,90,3,4.014705882,26.35,4.619403102,20.24679062,7,22.31,4,50,0,66,2,4.408527246,3.921375057,2.382382366,5.2989924,9.166666667,7.5,4.228332095,7.27311102,6.554470655,7.574464345,0.945945946,5.827004822,9.426367816,2.868160919,9.564468302,1.088829245,9.647929752,1.760351239,10,9.659691468,9.64,0.54,8.9,5.5,6.216,9.46,8.252,5.940177611,7.94889558,6.944536595,10,3.343541269,3.076923077,5.869296091,4.096586813,7.323280852,5,4.0007631,10,6.3335877,2.233333333,2.395678109,4.905048905,8,8.129313462,10,5.943895635,2.552526166,8.666666667,9.663319031,5.653891625,7.450919689,7.085575118,6.845483049,6.374322128
ZAF,2013,South Africa,6.75,87,3,4.276470588,25.46,8.300044614,6.738836265,4,34.9,6,40,5,41,5.5,5.519128801,7.398823264,6.759307911,7.666299706,8.333333333,3.33,3.925506183,7.527307867,4.394316177,2.920064671,1,5.806106568,8.82967179,5.851641048,9.519258392,1.201854021,9.337781471,3.311092647,5,8.171677913,8.706666667,1.94,8.48,7.6,3.7072,15.732,6.964622222,6.251588973,7.511787565,6.881688269,10,5.866832507,0.769230769,6.288531526,4.308198268,7.03862719,10,6.838023488,10,8.946007829,5.566666667,1.79946431,2.788735685,8,8.273212426,10,6.071346515,3.052638586,4,9.388534554,5.321066664,9.998371185,7.758134706,6.586457616,7.201270653
ESP,2013,Spain,7.32,45,2,4.382352941,25.1,4.444558908,20.88846881,10,11.36,4,52,4,52,4,5.706727962,3.671719241,3.838800213,5.536760309,8.333333333,8.333333333,5.496974993,7.768070603,8.009479538,6.963813243,1,6.439142756,9.909959946,-0.450200269,9.824633971,0.438415073,9.718274343,1.408628285,10,9.863217065,9.64,0.54,8.9,5.5,6.216,9.46,8.252,5.682737267,8.76417365,7.223455458,10,5.964504715,3.076923077,5.869296091,4.970241294,7.611424188,10,6.201910391,10,8.73397013,2.233333333,3.835210329,5.325484545,6,5.066321217,10,5.410058237,3.015507664,7.555555556,9.490221266,5.379831365,7.17467823,8.12804248,6.790639427,6.978222598
LKA,2013,Sri Lanka,6.64,95,3,8.732352941,10.31,9.35404689,2.870647913,7,23.2,9,24,8,26,8.5,8.396599958,4.391878413,4.887151675,5.505681724,3.333333333,4.166666667,3.614643447,7.359711578,4.418266634,6.309040488,0.918918919,4.689238065,9.711667035,1.441664824,9.486037697,1.284905757,8.617690694,6.911546529,0,6.953848857,7.293333333,4.06,8.02,9.9,3.7828,15.543,6.365377778,5.112586375,8.011339582,6.561962978,10,6.708663455,0,0,2.236221152,6.290890477,5,7.950362814,10,7.650120938,10,3.313839646,7.306691044,8,0,10,6.436755115,3.79760206,5.333333333,9.430375708,4.016842083,8.16239444,8.12804248,6.478098351,6.854991468
SUR,2013,Suriname,6.62,96,3,0,42.66,8.584782918,5.693846691,10,13.01,5,38,5,40,5,5.89619573,4.747271494,3.204060121,3.756053191,5,5,2.745757539,3.493336875,5.745499356,5.512717391,0.974358974,4.300230184,9.800153767,0.999231166,8.068897576,4.827756061,9.607843137,1.960784314,10,9.36922362,8.386666667,2.42,7.92,10.4,6.1312,9.672,7.479288889,6.562861825,7.13361751,6.848239667,10,4.651966483,0,1.509247566,2.053738016,6.595316643,5,8.966,10,7.988666667,10,3.277718363,6.663445236,10,7.006901538,10,7.824677523,3.705972812,1.333333333,6.191952617,3.681250778,7.281612026,7.769344033,4.993910933,6.935751708
SWZ,2013,Swaziland,6.74,88,3,5.558823529,21.1,9.875389038,0.95732223,7,21.39,7,33,7,33,7,7.358553142,4.123281402,4.441616417,5.491338728,5.1,,1.591293744,7.269266228,5.9526745,5.816708667,0.692307692,4.208153621,8.469862781,7.650686097,9.191133925,2.022165187,8.876080117,5.619599417,5,7.884269206,0,18.55,8.48,7.6,5.2576,11.856,4.5792,6.018621728,7.303056551,6.660839139,10,5.61462037,0.769230769,7.294696571,4.559515903,6.449888761,8,9.57217526,10,9.190725087,8.9,4.656124917,5.836325917,10,6.891782367,10,7.714038867,4.2819335,3.555555556,8.793438592,4.579077405,9.348620967,8.766974089,6.554266685,7.819676879
SWE,2013,Sweden,7.4,35,1,1.205882353,35.9,4.38349243,21.11258278,7,20.56,2,56,0,67,1,3.397343696,7.844070897,6.750356203,7.820103483,9.166666667,10,6.14969173,8.321952355,7.802192587,6.922417338,1,7.864161251,9.388021431,3.059892847,9.840041374,0.399896564,9.991141406,-0.04429297,10,9.804801053,9.64,0.54,8.9,5.5,6.216,9.46,8.252,5.929836265,9.035348666,7.482592465,10,6.799528522,3.076923077,5.869296091,5.248582563,7.745793757,10,9.601416454,10,9.867138818,6.666666667,4.113580107,4.33379847,6,10,10,6.852340874,5.070149875,7.555555556,9.440518478,7.690088777,9.023243127,8.632462171,7.902002997,8.207160896
CHE,2013,Switzerland,8.26,4,1,6.755882353,17.03,6.069195462,14.92605265,10,12.68,9,26-42,7,35-49,8,7.706269454,8.450411712,7.075209535,8.726935769,10,8.333333333,6.067159306,9.598998829,8.703973668,7.682483937,1,8.293167343,8.908940991,5.455295044,9.950434268,0.123914329,9.95180193,-0.240990348,10,9.702794297,9.913333333,0.13,8.64,6.8,0,30.192,6.184444444,5.067823197,8.994303672,7.031063434,10,6.69841473,3.076923077,5.869296091,5.214877966,7.107596461,8,10,10,9.333333333,10,7.831992305,7.915395302,6,10,5,7.791231268,5.349293014,9.111111111,9.575551891,8.349454145,8.406382575,9.293812433,8.347600862,8.490721821
SYR,2013,Syria,5.28,147,4,6.812564953,16.83727916,8.967029973,4.291,2,47.86,9,22,5,38,7,6.194898732,8.587834107,7.58970776,8.099699134,3.333333333,7.5,3.219695307,4.640914488,8.222803216,7.526795324,0.487179487,4.851574636,9.478306481,2.608467594,0,43.86499594,0,200,10,4.86957662,8.366666667,2.45,6.7,16.5,0.628,23.43,5.231555556,6.521343284,7.156769539,6.839056412,5.199291408,7.005532967,0.833333333,0,2.612955433,4.970714702,2,4.756256256,10,5.585418752,6.1,3.909279593,4.224301452,6,10,0,5.038930174,5.246582921,1.111111111,8.540441377,8.404466644,,6.233666307,5.907253672,5.510534199
TWN,2013,Taiwan,7.68,16,1,5.514186427,21.25176615,9.155313351,3.6,7,21.86192469,7,40,7,40,7,7.167374945,5.399594807,4.491847609,7.882442513,6.666666667,8.333333333,5.545583995,7.886393379,6.659953713,7.898131388,0.891891892,6.386601078,9.495950254,2.520248729,9.227451395,1.931371512,9.84,0.8,10,9.640850412,9.674589738,0.488115392,8.8,6,5.032,12.42,7.835529913,6.353579411,8.701729648,7.527654529,10,7.079000459,,3.94081309,5.509906774,7.718272804,8,8.964143426,10,8.988047809,2.233333333,5.729959324,7.493132314,10,2.517253846,5,5.495613136,4.858137866,10,9.656724856,6.760749931,9.402087865,7.522738851,8.033406562,7.505689169
TJK,2013,Tajikistan,6.66,92,3,8.970588235,9.5,9.063487738,3.937,0,61,10,13,7,31,8.5,6.633518993,4.322916667,4.516129096,4.754385948,3.3,,5.674560361,8.084496635,4.754385948,5.6529212,0.756756757,4.508254612,9.827866156,-0.860669219,8.229961746,4.425095634,8.998070709,5.009646453,10,9.263974653,9.186666667,1.22,8.44,7.8,7.7848,5.538,8.470488889,4.526315928,0.628919854,2.577617891,10,4.126660625,3.076923077,7.294696571,4.832760091,6.470216718,8,9.410308678,8,8.470102893,5.566666667,5.248227119,6.298245589,4,8.129313462,0,4.873742139,5.090579987,2.666666667,8.506601205,4.28677392,7.19696469,7.657250768,5.900806206,6.414883746
TZA,2013,Tanzania,6.85,82,3,6.117647059,19.2,9.971240403,0.60554772,7,22.63,8,30,3,48,5.5,7.147221866,3.672898591,4.156516813,4.246369782,6.666666667,8.333333333,5.71449012,7.25455052,4.110412122,5.248720283,0.914285714,5.254071748,8.282802923,8.585985383,9.260425057,1.848937358,8.425855271,7.870723646,5,7.742270813,8.553333333,2.17,7.44,12.8,5.1872,12.032,7.060177778,4.850073701,7.031881535,5.940977618,10,5.304076133,0,10,5.101358711,7.025628527,10,7.199517418,10,9.066505806,4.433333333,4.782180942,5.972513054,10,8.273212426,5,6.410206626,4.279946209,2.444444444,8.917563886,3.193417403,7.56096911,7.971111909,5.727908827,7.068207086
THA,2013,Thailand,6.54,105,3,4.567647059,24.47,9.119336979,3.732033286,7,20.6,8,35,8,35,8,7.17174601,4.670751032,4.252671195,5.154256537,3.333333333,4.166666667,6.237189244,7.89132073,3.668202322,5.353741376,0.864864865,4.633995703,9.161136622,4.194316891,9.485955783,1.285110542,9.563022763,2.184886185,0,7.052528792,9.573333333,0.64,7.72,11.4,3.4792,16.302,6.924177778,5.766552629,8.179025602,6.972789115,10,6.365268225,1.538461538,2.012330088,3.305353284,6.800580044,8,9.929550314,10,9.309850105,5.566666667,5.699033431,5.463972966,10,1.36606213,0,4.682622532,3.835212105,10,9.050215899,4.230307057,9.076348066,7.040737812,7.205470157,7.065980931
TLS,2013,Timor-Leste,6.14,122,4,0,45.09,8.168419984,7.22189866,0,82.39,10,10,10,10,10,4.542104996,3.850188266,3.216529876,2.997392829,5.3,,0,,4.292972477,4.733810622,1,3.484413439,9.240397332,3.798013338,7.711725005,5.720687488,7.768675508,11.15662246,10,8.680199461,9.366666667,0.95,9.5,2.5,10,0,9.622222222,5.338139421,6.193451435,5.765795428,,4.875967712,8.461538462,0.02,4.452502058,6.613506569,,10,9,9.5,3.333333333,4.018199933,5.790006747,8,10,10,6.856923336,3.495871901,4,9.258674801,3.378138314,7.542457237,6.906225895,5.763561358,7.373494898
TGO,2013,Togo,5.98,131,4,6.967647059,16.31,8.447262339,6.198547215,4,36,7,35,,,7,6.603727349,,3.8,5.130244335,0,5,3.147057395,1.942985493,4.23434609,6.054865634,0.897435897,3.475805965,9.270157845,3.649210774,9.222584501,1.943538747,9.645305514,1.773472429,0,7.034511965,7.253333333,4.12,7.62,11.9,7.2868,6.783,7.386711111,5.832074563,6.341491469,6.086783016,10,6.608027772,0.769230769,1.257706305,2.878321615,6.587953936,5,10,10,8.333333333,1.666666667,5.59015994,5.815890834,8,7.006901538,0,4.679936497,3.904296253,1.555555556,8.560017194,4.374746608,8.199237207,6.973481854,5.594555779,6.202608536
TTO,2013,Trinidad & Tob.,6.73,89,3,6.270588235,18.68,8.418998307,6.302276213,0,61.37,9,25,5,39,7,5.422396636,5.999644593,3.812035435,5.213455076,8.333333333,3.33,2.964498047,6.243780052,3.464499688,2.091688291,0.974358974,4.546831849,8.67961599,6.60192005,5.05034146,12.37414635,8.960036519,5.199817405,10,8.172498492,8.986666667,1.52,7.86,10.7,5.8056,10.486,7.550755556,6.662021928,8.368110629,7.515066279,10,5.924930388,6.153846154,7.88162618,6.653467574,7.929822352,8,9.045176237,9,8.681725412,10,4.582404148,6.083007628,10,5.136215,10,7.633604463,4.142050843,6.666666667,9.624456757,3.579050268,6.841311309,7.646041442,6.416596214,7.577308696
TUN,2013,Tunisia,6.31,118,3,5.426470588,21.55,6.411152109,13.67107176,7,23.1,7,35,4,44,5.5,6.084405674,4.261439754,4.229206287,4.992945208,6.666666667,8.333333333,4.881959393,7.25779119,5.140627034,4.369246671,0.794871795,4.999038586,9.034573985,4.827130075,9.599363914,1.001590214,8.840291076,5.798544619,0,6.868557244,8.833333333,1.75,6.9,15.5,5.164,12.09,6.965777778,4.857282016,7.574231567,6.215756792,10,5.893983048,0.769230769,7.127002397,4.596738738,6.944568327,5,6.012212306,10,7.004070769,6.1,4.18824892,5.312609202,10,7.755176154,3,6.059339046,4.180200865,5.111111111,9.603699393,4.535769474,9.398106317,8.385856989,6.869124025,6.644177946
TUR,2013,Turkey,6.84,83,3,6.617647059,17.5,6.032527139,15.0606254,7,23.21,7,35,7,35,7,6.66254355,3.452858756,4.456694963,5.936298888,3.333333333,5.833333333,5.786381379,8.571759626,4.299568762,5.838991343,0.918918919,5.064796768,8.143022756,9.284886219,9.448872258,1.377819356,8.501381939,7.493090305,10,9.023319238,9.486666667,0.77,7.84,10.8,0.496,23.76,5.940888889,5.509819493,8.200424609,6.855122051,10,5.455761104,2.307692308,6.372378613,4.711944008,6.876988737,5,8.9034704,10,7.967823467,5.566666667,4.854354492,7.217575085,8,2.517253846,1,4.859308348,4.125864481,6.666666667,9.579949475,5.219031997,8.156603096,7.466692218,6.869134655,6.565422157
UGA,2013,Uganda,7.23,54,2,8.852941176,9.9,9.980324244,0.572210026,7,23,5,40,3,50,4,7.458316355,3.306265651,4.160181433,4.00277759,3.333333333,5.833333333,4.869959497,8.332683571,4.540469431,3.953254391,0.914285714,4.502002066,8.519565003,7.402174987,6.602451319,8.493871703,8.907119626,5.464401872,10,8.507283987,8.453333333,2.32,7.44,12.8,5.2384,11.904,7.043911111,5.680492907,5.881231425,5.780862166,10,6.747229113,8.461538462,10,8.402922525,7.806923951,10,7.487437186,9,8.829145729,10,6.546937566,8.590839325,8,10,10,8.856296149,4.556188417,3.555555556,8.298983386,2.912113375,8.386474831,7.657250768,5.894427722,7.859956533
UKR,2013,Ukraine,6.03,127,4,5.435294118,21.52,3.458196927,24.50841728,10,11.42,10,17,4,41,7,6.473372761,1.693749224,2.454373839,2.829519296,8.333333333,6.666666667,4.8026205,8.832298113,2.747316626,4.750189083,0.756756757,4.20743894,8.35852597,8.20737015,8.033487921,4.916280196,9.944751381,-0.276243094,0,6.584191318,9.353333333,0.97,9.1,4.5,7.948,5.13,8.800444444,5.108077038,5.984720421,5.54639873,10,4.132065038,0,4.443895612,2.85865355,6.801374181,8,2.477772186,10,6.825924062,5.566666667,4.881743652,6.530420836,6,9.251725385,0,5.371759423,3.118860553,4.666666667,9.315047471,3.160489409,9.857461846,6.076735736,6.032543614,6.076742366
ARE,2013,Unit. Arab Em.,7.69,13,1,5.202941176,22.31,8.523877411,5.917369902,4,36.58,10,0,10,16,10,6.931704647,7.68235999,6.571823194,7.432784256,8.333333333,6.666666667,5.330703767,9.896459278,8.651389815,9.199205944,0.538461538,5.962797115,8.696603279,6.516983605,5.970892023,10.07276994,9.779861719,1.100691404,10,8.611839255,9.993333333,0.01,9.06,4.7,7.368,6.58,8.807111111,7.516797133,9.140590684,8.328693908,10,7.807102981,5.833333333,4.024660177,5.888365497,8.256042629,5,10,10,8.333333333,10,6.755697996,8.566536763,6,10,10,8.553705793,6.9970918,9.333333333,9.677689611,8.76746461,9.999638041,9.865488082,9.106784246,8.664607791
