0,1,2
B07411PR_001E,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Median income in the past 12 months!!Total living in area 1 year ago
B07411_001E,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Median income in the past 12 months!!Total living in area 1 year ago
B07412PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07412_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B07413PR_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Estimate!!Total living in area 1 year ago
B07413_001E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Estimate!!Total living in area 1 year ago
B08006_001E,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Estimate!!Total
B08007_001E,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,Estimate!!Total
B08008_001E,SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL,Estimate!!Total
B08009_001E,"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI)",Estimate!!Total
B08011_001E,SEX OF WORKERS BY TIME LEAVING HOME TO GO TO WORK,Estimate!!Total
B08012_001E,SEX OF WORKERS BY TRAVEL TIME TO WORK,Estimate!!Total
B08013_001E,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY SEX,Estimate!!Aggregate travel time to work (in minutes)
B08014_001E,SEX OF WORKERS BY VEHICLES AVAILABLE,Estimate!!Total
B08015_001E,"AGGREGATE NUMBER OF VEHICLES (CAR, TRUCK, OR VAN) USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting"
B08016_001E,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL,Estimate!!Total
B08017_001E,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MICROPOLITAN STATISTICAL AREA LEVEL,Estimate!!Total
B08018_001E,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL,Estimate!!Total
B08101_001E,MEANS OF TRANSPORTATION TO WORK BY AGE,Estimate!!Total
B08103_001E,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,Estimate!!Median age!!Total
B08105A_001E,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),Estimate!!Total
B08105B_001E,MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B08105C_001E,MEANS OF TRANSPORTATION TO WORK (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B08105D_001E,MEANS OF TRANSPORTATION TO WORK (ASIAN ALONE),Estimate!!Total
B08105E_001E,MEANS OF TRANSPORTATION TO WORK (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B08105F_001E,MEANS OF TRANSPORTATION TO WORK (SOME OTHER RACE ALONE),Estimate!!Total
B08105G_001E,MEANS OF TRANSPORTATION TO WORK (TWO OR MORE RACES),Estimate!!Total
B08105H_001E,"MEANS OF TRANSPORTATION TO WORK (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B08105I_001E,MEANS OF TRANSPORTATION TO WORK (HISPANIC OR LATINO),Estimate!!Total
B08111_001E,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS,Estimate!!Total
B08113_001E,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH,Estimate!!Total
B08119_001E,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),Estimate!!Total
B08121_001E,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK,Estimate!!Median earnings in the past 12 months!!Total
B08122_001E,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS,Estimate!!Total
B08124_001E,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION,Estimate!!Total
B08126_001E,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY,Estimate!!Total
B08128_001E,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER,Estimate!!Total
B08130_001E,MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL,Estimate!!Total
B08131_001E,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,Estimate!!Aggregate travel time to work (in minutes)
B08132_001E,MEANS OF TRANSPORTATION TO WORK BY TIME LEAVING HOME TO GO TO WORK,Estimate!!Total
B08133_001E,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TIME LEAVING HOME TO GO TO WORK,Estimate!!Aggregate travel time to work (in minutes)
B08134_001E,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK,Estimate!!Total
B08135_001E,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY TRAVEL TIME TO WORK,Estimate!!Aggregate travel time to work (in minutes)
B08136_001E,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Estimate!!Aggregate travel time to work (in minutes)
B08137_001E,MEANS OF TRANSPORTATION TO WORK BY TENURE,Estimate!!Total
B08141_001E,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE,Estimate!!Total
B08201_001E,HOUSEHOLD SIZE BY VEHICLES AVAILABLE,Estimate!!Total
B08202_001E,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD,Estimate!!Total
B08203_001E,NUMBER OF WORKERS IN HOUSEHOLD BY VEHICLES AVAILABLE,Estimate!!Total
B08301_001E,MEANS OF TRANSPORTATION TO WORK,Estimate!!Total
B08302_001E,TIME LEAVING HOME TO GO TO WORK,Estimate!!Total
B08303_001E,TRAVEL TIME TO WORK,Estimate!!Total
B08406_001E,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08412_001E,SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08501_001E,MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08503_001E,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Median age!!Total
B08505A_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE),Estimate!!Total
B08505B_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B08505C_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B08505D_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (ASIAN ALONE),Estimate!!Total
B08505E_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B08505F_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (SOME OTHER RACE ALONE),Estimate!!Total
B08505G_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (TWO OR MORE RACES),Estimate!!Total
B08505H_001E,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B08505I_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (HISPANIC OR LATINO),Estimate!!Total
B08511_001E,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08513_001E,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08519_001E,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08521_001E,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Median earnings in the past 12 months!!Total
B08522_001E,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08524_001E,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08526_001E,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08528_001E,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08532_001E,MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08534_001E,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08536_001E,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Aggregate travel time to work (in minutes)
B08537_001E,MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08541_001E,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08601_001E,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08602_001E,TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08603_001E,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B08604_001E,WORKER POPULATION FOR WORKPLACE GEOGRAPHY,Estimate!!Total
B09001_001E,POPULATION UNDER 18 YEARS BY AGE,Estimate!!Total
B09002_001E,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE,Estimate!!Total
B09005_001E,"HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)",Estimate!!Total
B09008_001E,PRESENCE OF UNMARRIED PARTNER OF HOUSEHOLDER BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Estimate!!Total
B09010_001E,"RECEIPT OF SUPPLEMENTAL SECURITY INCOME (SSI), CASH PUBLIC ASSISTANCE INCOME, OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS",Estimate!!Total
B09018_001E,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Estimate!!Total
B09019_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP,Estimate!!Total
B09020_001E,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER,Estimate!!Total
B09021_001E,LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER IN THE UNITED STATES,Estimate!!Total
B10001_001E,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY AGE OF GRANDCHILD,Estimate!!Total
B10002_001E,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY GRANDPARENT RESPONSIBILITY AND PRESENCE OF PARENT,Estimate!!Total
B10010_001E,MEDIAN FAMILY INCOME FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,Estimate!!Median family income in the past 12 months!!Total
B10050_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY LENGTH OF TIME RESPONSIBLE FOR OWN GRANDCHILDREN FOR THE POPULATION 30 YEARS AND OVER,Estimate!!Total
B10051A_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE),Estimate!!Total
B10051B_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B10051C_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B10051D_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (ASIAN ALONE),Estimate!!Total
B10051E_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B10051F_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (SOME OTHER RACE ALONE),Estimate!!Total
B10051G_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (TWO OR MORE RACES),Estimate!!Total
B10051H_001E,"GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B10051I_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT (HISPANIC OR LATINO),Estimate!!Total
B10051_001E,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY PRESENCE OF PARENT OF GRANDCHILDREN AND AGE OF GRANDPARENT,Estimate!!Total
B10052_001E,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Estimate!!Total
B10053_001E,NATIVITY BY GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS BY AGE OF GRANDPARENT,Estimate!!Total
B10054_001E,LANGUAGE AND ABILITY TO SPEAK ENGLISH OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Estimate!!Total
B10056_001E,SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Estimate!!Total
B10057_001E,MARITAL STATUS BY GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Estimate!!Total
B10058_001E,EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Estimate!!Total
B10059_001E,POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,Estimate!!Total
B10063_001E,HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,Estimate!!Total
B11001A_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE),Estimate!!Total
B11001B_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B11001C_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B11001D_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE),Estimate!!Total
B11001E_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B11001F_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE),Estimate!!Total
B11001G_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES),Estimate!!Total
B11001H_001E,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B11001I_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO),Estimate!!Total
B11001_001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE),Estimate!!Total
B11002A_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE),Estimate!!Total
B11002B_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B11002C_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B11002D_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE),Estimate!!Total
B11002E_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B11002F_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE),Estimate!!Total
B11002G_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES),Estimate!!Total
B11002H_001E,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B11002I_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO),Estimate!!Total
B11002_001E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,Estimate!!Total
B11003_001E,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,Estimate!!Total
B11004_001E,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Estimate!!Total
B11005_001E,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,Estimate!!Total
B11006_001E,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,Estimate!!Total
B11007_001E,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",Estimate!!Total
B11009_001E,UNMARRIED-PARTNER HOUSEHOLDS BY SEX OF PARTNER,Estimate!!Total
B11010_001E,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,Estimate!!Total
B11011_001E,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,Estimate!!Total
B11013_001E,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Estimate!!Total
B11014_001E,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,Estimate!!Total
B11015_001E,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,Estimate!!Total
B11016_001E,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Estimate!!Total
B11017_001E,MULTIGENERATIONAL HOUSEHOLDS,Estimate!!Total
B12001_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Estimate!!Total
B12002A_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),Estimate!!Total
B12002B_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B12002C_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B12002D_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),Estimate!!Total
B12002E_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B12002F_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),Estimate!!Total
B12002G_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),Estimate!!Total
B12002H_001E,"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B12002I_001E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),Estimate!!Total
B12002_001E,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER,Estimate!!Total
B12006_001E,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION,Estimate!!Total
B12007A_001E,MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE),Estimate!!Median age at first marriage!!Male
B12007B_001E,MEDIAN AGE AT FIRST MARRIAGE (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Median age at first marriage!!Male
B12007C_001E,MEDIAN AGE AT FIRST MARRIAGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Median age at first marriage!!Male
B12007D_001E,MEDIAN AGE AT FIRST MARRIAGE (ASIAN ALONE),Estimate!!Median age at first marriage!!Male
B12007E_001E,MEDIAN AGE AT FIRST MARRIAGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Median age at first marriage!!Male
B12007F_001E,MEDIAN AGE AT FIRST MARRIAGE (SOME OTHER RACE ALONE),Estimate!!Median age at first marriage!!Male
B12007G_001E,MEDIAN AGE AT FIRST MARRIAGE (TWO OR MORE RACES),Estimate!!Median age at first marriage!!Male
B12007H_001E,"MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Median age at first marriage!!Male
B12007I_001E,MEDIAN AGE AT FIRST MARRIAGE (HISPANIC OR LATINO),Estimate!!Median age at first marriage!!Male
B12007_001E,MEDIAN AGE AT FIRST MARRIAGE,Estimate!!Median age at first marriage!!Male
B12501_001E,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Estimate!!Total
B12502_001E,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Estimate!!Total
B12503_001E,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Estimate!!Total
B12504_001E,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER,Estimate!!Total
B12505_001E,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,Estimate!!Total
B13002A_001E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE),Estimate!!Total
B13002B_001E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B13002C_001E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B13002D_001E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE),Estimate!!Total
B13002E_001E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B13002F_001E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (SOME OTHER RACE ALONE),Estimate!!Total
B13002G_001E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (TWO OR MORE RACES),Estimate!!Total
